1.#INF00;1.#INF00;9.944306e-001;0.002000
2.672049;1.224689;7.553714e-004;0.024000
2.650443;1.214786;7.530822e-004;0.025000
2.564939;1.175597;7.508714e-004;0.025000
2.769352;1.269286;7.487315e-004;0.024000
2.639176;1.209623;7.466178e-004;0.026000
2.726681;1.249729;7.445299e-004;0.024000
2.470130;1.132143;7.424675e-004;0.026000
2.676107;1.226549;7.404304e-004;0.025000
2.589993;1.187080;7.384183e-004;0.026000
2.484629;1.138788;7.364309e-004;0.026000
2.584653;1.184633;7.344680e-004;0.025000
2.529276;1.159252;7.325291e-004;0.027000
2.484621;1.138785;7.306141e-004;0.027000
2.604169;1.193578;7.287228e-004;0.025000
2.459915;1.127461;7.268547e-004;0.028000
2.159352;0.989703;7.250097e-004;0.032000
2.686362;1.231249;7.231875e-004;0.024000
2.830622;1.297369;7.213878e-004;0.025000
2.405604;1.102569;7.196104e-004;0.030000
1.964361;0.900332;7.178550e-004;0.035000
1.544202;0.707759;7.161214e-004;0.043000
2.186343;1.002074;7.144093e-004;0.030000
2.254041;1.033102;7.127184e-004;0.030000
2.419278;1.108836;7.110485e-004;0.029000
2.613159;1.197698;7.093994e-004;0.027000
2.486746;1.139759;7.077708e-004;0.026000
2.500766;1.146185;7.061625e-004;0.028000
2.032398;0.931516;7.045743e-004;0.034000
2.671056;1.224234;7.030058e-004;0.027000
2.550496;1.168978;7.014570e-004;0.027000
2.835139;1.299439;6.999274e-004;0.025000
2.620528;1.201075;6.984170e-004;0.026000
2.513772;1.152146;6.969255e-004;0.027000
2.659727;1.219041;6.954526e-004;0.027000
2.334166;1.069826;6.939982e-004;0.032000
2.634151;1.207319;6.925620e-004;0.027000
1.206203;0.552843;6.911438e-004;0.058000
2.355315;1.079520;6.897760e-004;0.030000
2.300796;1.054532;6.884341e-004;0.031000
1.203380;0.551549;6.871090e-004;0.060000
2.323832;1.065090;6.858005e-004;0.031000
2.507503;1.149272;6.845085e-004;0.029000
2.369759;1.086139;6.832327e-004;0.032000
2.455709;1.125533;6.819729e-004;0.029000
2.163460;0.991586;6.807289e-004;0.032000
2.507991;1.149496;6.795006e-004;0.028000
1.774887;0.813490;6.782877e-004;0.041000
1.364503;0.625397;6.770901e-004;0.055000
2.630748;1.205760;6.759076e-004;0.028000
2.655331;1.217027;6.747401e-004;0.029000
